id,country,admin_region,latitude,longitude,total_population,infected,zombified,mutants,deaths,missing,ut_forces,date
2035,France,Bordeaux,1.1704801824038547,-1.9678579598366681,690873,148742,108700,14519,20496,4158,3944,1999-01-21
2036,USA,Texas,-0.36160829624950047,-1.7712103761382976,27434,16897,9959,1038,2322,754,1558,1999-04-23
2037,Canada,Montreal,3.577033218814007,0.06437063883327881,1047702,951383,427608,16415,133033,57915,30073,1998-12-05
2038,Russia,Siberia_Zone,61.0137,99.1967,731483,569011,359139,32380,32415,41070,10015,1999-04-14
2039,France,Bordeaux,1.1704801824038547,-1.9678579598366681,61523,54015,37681,1425,3011,4530,1435,1998-05-19
2040,Taiwan,Taipei_City,1.6582573663341151,2.124440670053682,142110,125665,66833,1849,25026,6924,2996,1998-05-18
2041,Australia,Sydney,-33.8688,151.2093,847532,2090,1256,191,398,226,784,1999-05-06
2042,USA,New_York,40.7128,-74.006,2128233,1263074,950635,80581,180796,68224,24863,1998-10-26
2043,USA,Raccoon_City,38.8333,-97.5333,113973,100712,55401,2447,15580,7417,1406,1998-05-23
2044,USA,New_York,40.7128,-74.006,355907,186597,144033,5223,10011,19771,8870,1999-05-20
2045,Taiwan,Tainan_City,-1.3817801379542258,-6.823508848071515,2477516,1601704,808134,39469,246034,161020,50246,1999-03-11
2046,Germany,Hamburg,-3.9938192044018974,-2.733540311293427,59104,24555,14569,1784,3595,1717,961,1998-12-30
2047,Canada,Toronto,-2.097557183413056,-0.6387742714220199,3573652,2892543,2045363,200646,451450,329370,43010,1998-08-15
2048,Antarctica,Base_Echo,-2.0507635900375054,3.6890844561049834,29085,4537,2382,85,413,631,418,1998-09-08
2049,Taiwan,Kaohsiung_City,-1.4187478369460782,0.42363056911450814,115974,10254,5505,535,1409,1465,834,1998-05-10
2050,Brazil,Sao_Paulo,-23.5505,-46.6333,749431,265767,176290,9065,20994,39483,10695,1999-05-14
2051,Canada,Montreal,3.577033218814007,0.06437063883327881,1763434,133777,79769,3208,13842,15481,5589,1998-11-15
2052,Japan,Tokyo,35.6895,139.6917,248767,33675,17751,1614,3273,1911,2285,1999-03-01
2053,Australia,Perth,-2.3821152566781127,0.315955519096403,4588,690,407,40,68,47,277,1999-03-08
2054,Taiwan,Tainan_City,-1.3817801379542258,-6.823508848071515,110679,630,321,7,48,63,1001,1998-07-29
2055,France,Bordeaux,1.1704801824038547,-1.9678579598366681,104205,80610,43689,4102,15244,10509,4774,1998-09-21
2056,Canada,Toronto,-2.097557183413056,-0.6387742714220199,126673,107415,78250,6707,9732,3804,3627,1999-02-19
2057,Brazil,Sao_Paulo,-23.5505,-46.6333,1883006,73506,45346,4830,13117,1287,4178,1998-08-17
2058,Japan,Kyoto,-0.6353533556324394,-4.121988575775276,17923,3981,2280,118,669,127,493,1999-04-17
2059,Germany,Munich,1.3304192527089729,0.9162062377984493,137487,44640,23277,962,6995,2177,1792,1998-11-20
2060,France,Paris_District,1.1184999132560782,0.24669544334403318,116707,88525,62061,8321,5389,9814,2515,1998-06-13
2061,Canada,Toronto,-2.097557183413056,-0.6387742714220199,104139,23156,17142,2116,1584,2655,977,1998-05-08
2062,Australia,Melbourne,2.2429425392786246,-0.21824634033095125,26474,10056,5072,297,838,134,1144,1999-05-27
2063,France,Bordeaux,1.1704801824038547,-1.9678579598366681,259996,240521,192147,18149,30478,33631,4171,1999-02-25
2064,Japan,Kyoto,-0.6353533556324394,-4.121988575775276,75789,59610,38847,3434,7155,3855,2911,1999-05-30
2065,France,Bordeaux,1.1704801824038547,-1.9678579598366681,43451,4153,3125,319,251,477,649,1999-04-18
2066,UK,London_City,51.5074,-0.1278,61722,18778,11073,1522,1939,2327,1290,1998-09-30
2067,Antarctica,Base_Omega,1.3325999520384384,-2.3818271865907095,51589,28298,19364,1459,1537,3461,618,1998-05-17
2068,Russia,Saint_Petersburg,1.7025554541757133,0.21703694487372807,24314,15781,12537,1464,906,1067,925,1999-04-04
2069,Germany,Berlin,52.52,13.405,34691,21257,16531,1230,3192,1488,1506,1998-12-23
2070,Japan,Okinawa,-0.7058126639679835,7.705785461881211,8821,715,348,14,85,23,559,1999-03-31
2071,Antarctica,Base_Omega,1.3325999520384384,-2.3818271865907095,5469854,5161122,3588188,404214,350817,538611,68933,1998-06-25
2072,Antarctica,Rockfort_Island,-67.6167,62.8667,239755,41866,20932,3436,2931,3513,2117,1998-06-13
2073,France,Bordeaux,1.1704801824038547,-1.9678579598366681,132017,22154,17468,2011,2464,2827,1114,1999-03-05
2074,Russia,Vladivostok,43.1155,131.8853,1223904,282174,202139,26040,18843,39248,11639,1998-12-27
2075,Antarctica,Base_Omega,1.3325999520384384,-2.3818271865907095,279842,109353,79393,7287,7160,12248,4384,1998-06-08
2076,Russia,Vladivostok,43.1155,131.8853,556778,170093,131769,3607,29387,21515,7986,1998-09-07
2077,France,Marseille,3.0758159318117744,0.8224238495790386,229372,111683,77405,6318,16498,12340,5752,1998-08-06
2078,Australia,Sydney,-33.8688,151.2093,5435870,4703570,2472726,222912,893689,98859,178765,1999-02-05
2079,UK,Manchester,-0.16330745969565263,5.456915438611025,28235939,1112900,739498,90982,204869,145282,31774,1998-07-19
2080,Antarctica,Base_Echo,-2.0507635900375054,3.6890844561049834,6883293,2534408,1557510,75972,193069,103670,89520,1999-02-12
2081,Taiwan,Taipei_City,1.6582573663341151,2.124440670053682,836,782,541,17,91,27,764,1999-03-31
2082,UK,Manchester,-0.16330745969565263,5.456915438611025,49227,11633,5877,492,665,979,858,1998-12-20
2083,France,Lyon,0.12253540250078182,2.243434500939372,54985,42765,26513,798,3532,3228,1294,1999-03-30
2084,Germany,Munich,1.3304192527089729,0.9162062377984493,2362460,881191,450448,33042,101527,73348,20606,1998-10-16
2085,Taiwan,Taichung_City,-2.6047385575082553,7.177168990234618,73314,63404,43766,4610,8239,8215,2487,1998-07-18
2086,Japan,Tokyo,35.6895,139.6917,85698,51887,37374,3312,10255,2903,1930,1998-07-10
2087,UK,London_City,51.5074,-0.1278,62788,53289,25112,1319,3163,2790,2268,1999-01-18
2088,France,Paris_District,1.1184999132560782,0.24669544334403318,85899,51825,40628,2625,3397,6096,736,1998-11-16
2089,UK,Birmingham,-2.8500477535126296,3.2832201705097055,156155,132087,81752,4315,12883,6274,3193,1998-11-27
2090,Antarctica,Base_Echo,-2.0507635900375054,3.6890844561049834,510371,438406,330052,20768,69851,13157,20148,1998-05-18
2091,Taiwan,Hualien_County,2.595969444828932,-2.4187338956450457,134340,38327,19228,1366,2005,4522,1431,1999-01-28
2092,Brazil,Sao_Paulo,-23.5505,-46.6333,123584,98500,47036,1444,7422,9506,3364,1998-11-26
2093,Canada,Vancouver,1.763269541791821,-1.335127450431743,62830,50150,39101,3709,2933,7302,2517,1998-08-25
2094,UK,Birmingham,-2.8500477535126296,3.2832201705097055,260151,174330,139001,11121,27692,25410,3872,1998-08-12
2095,Japan,Hokkaido,0.8748241824825881,-0.4771821068560608,4355,1000,480,70,106,33,905,1998-07-16
2096,Japan,Hokkaido,0.8748241824825881,-0.4771821068560608,5618,580,362,43,54,13,382,1999-03-11
2097,USA,Texas,-0.36160829624950047,-1.7712103761382976,22409,13165,9034,966,1321,780,496,1998-05-11
2098,UK,London_City,51.5074,-0.1278,562186,349437,187954,33011,67408,32350,4011,1999-05-16
2099,Canada,Ottawa,1.480608918212311,-1.9217980547608868,6261,5771,3253,492,488,690,809,1998-06-20
2100,Australia,Melbourne,2.2429425392786246,-0.21824634033095125,1101612,417348,250406,25366,20972,42077,10140,1998-05-07
2101,Antarctica,Base_Omega,1.3325999520384384,-2.3818271865907095,205761,141329,60220,2972,12188,4010,4565,1998-06-06
2102,Russia,Siberia_Zone,61.0137,99.1967,18700,15620,9894,158,1349,1801,1329,1999-01-16
2103,Canada,Vancouver,1.763269541791821,-1.335127450431743,451648,342837,189889,5882,63559,22005,12647,1998-07-01
2104,Russia,Moscow,-3.1270639264667555,0.5501745696793509,25496,9807,6780,860,1582,199,555,1998-11-16
2105,Russia,Saint_Petersburg,1.7025554541757133,0.21703694487372807,167038,38126,18831,3447,3958,4002,2011,1999-03-26
2106,Brazil,Sao_Paulo,-23.5505,-46.6333,58391,1830,1304,121,352,70,525,1998-07-29
2107,USA,Texas,-0.36160829624950047,-1.7712103761382976,1182488,851894,368726,73305,65327,48273,14675,1998-07-18
2108,Canada,Ottawa,1.480608918212311,-1.9217980547608868,835466,305914,159588,28269,37332,43219,9052,1998-06-24
2109,Canada,Toronto,-2.097557183413056,-0.6387742714220199,1213856,579329,360133,11129,75453,17561,9591,1998-12-07
2110,Brazil,Brasilia,-0.49583118872479576,4.486676700154028,1957014,1826267,838443,47438,121453,54280,40981,1998-07-31
2111,UK,Edinburgh,0.6060610566215301,-4.154607930958573,710462,3934,1919,222,263,284,779,1998-07-13
2112,UK,Edinburgh,0.6060610566215301,-4.154607930958573,292160,76680,35565,1541,9756,3672,1797,1998-06-25
2113,UK,Edinburgh,0.6060610566215301,-4.154607930958573,4590,4278,3195,161,234,447,924,1998-12-18
2114,Germany,Frankfurt,-4.724921723598893,2.452041664770111,174272,80875,46041,2683,12893,6795,3192,1998-10-26
2115,Russia,Moscow,-3.1270639264667555,0.5501745696793509,3276,2918,2004,221,362,421,732,1998-06-30
2116,Germany,Hamburg,-3.9938192044018974,-2.733540311293427,13410,10848,6893,336,2097,1087,783,1999-04-25
2117,USA,Texas,-0.36160829624950047,-1.7712103761382976,759746,513860,331699,8130,57625,58327,15645,1998-08-25
2118,Brazil,Brasilia,-0.49583118872479576,4.486676700154028,15571,10562,8180,961,1373,376,841,1998-07-17
2119,Canada,Toronto,-2.097557183413056,-0.6387742714220199,415646,2244,1200,47,279,127,671,1998-12-22
2120,Antarctica,Rockfort_Island,-67.6167,62.8667,111312,31505,15986,2028,2104,739,668,1998-06-02
2121,Russia,Vladivostok,43.1155,131.8853,111613,46808,26873,4047,8276,1359,2660,1998-06-24
2122,Germany,Hamburg,-3.9938192044018974,-2.733540311293427,80597,39838,23027,3058,5992,439,1286,1998-12-29
2123,Germany,Frankfurt,-4.724921723598893,2.452041664770111,437774,184833,140582,8831,26251,2897,6572,1999-01-29
2124,France,Paris_District,1.1184999132560782,0.24669544334403318,86500,35916,26720,2524,5430,2448,1781,1998-07-13
2125,Germany,Frankfurt,-4.724921723598893,2.452041664770111,68749,56348,31959,4201,5812,3029,2449,1998-05-21
2126,Australia,Sydney,-33.8688,151.2093,356482,328374,234001,19374,35908,9885,8690,1999-04-18
2127,Canada,Toronto,-2.097557183413056,-0.6387742714220199,138447,111427,66378,10624,9157,9349,1627,1998-11-17
2128,Australia,Melbourne,2.2429425392786246,-0.21824634033095125,16949,11133,8270,1049,1398,1080,717,1998-10-01
2129,Canada,Montreal,3.577033218814007,0.06437063883327881,134902,94396,43621,7116,16657,10660,2401,1999-01-09
2130,Brazil,Brasilia,-0.49583118872479576,4.486676700154028,12656,8868,6960,754,1070,1016,1229,1998-11-23
2131,Canada,Montreal,3.577033218814007,0.06437063883327881,163156,123985,62121,10536,17760,8828,4807,1998-09-26
2132,Australia,Brisbane,-0.8665823898368763,9.314114221014716,1866869,100929,52394,8114,14427,5804,5467,1998-10-30
2133,Canada,Toronto,-2.097557183413056,-0.6387742714220199,25411,1828,732,149,349,196,613,1999-02-26
2134,Brazil,Amazon_Region,-1.9372771334816101,-3.219104847382798,878632,82072,43540,3281,7777,11083,3157,1999-02-21
2135,Brazil,Brasilia,-0.49583118872479576,4.486676700154028,557186,482363,342956,22699,41634,53117,19274,1999-01-16
2136,USA,California,-3.768367786224215,-7.269105964257913,8046,4755,3032,237,284,693,811,1998-06-13
2137,Canada,Toronto,-2.097557183413056,-0.6387742714220199,200656,86904,67512,5301,16182,4510,4668,1998-09-21
2138,Antarctica,Base_Echo,-2.0507635900375054,3.6890844561049834,1695741,1241201,909335,102349,180211,128805,48551,1998-12-30
2139,France,Bordeaux,1.1704801824038547,-1.9678579598366681,49825,10457,4705,762,2053,1230,460,1998-05-05
2140,UK,London_City,51.5074,-0.1278,45910,35119,26148,731,6293,1757,2176,1998-07-01
2141,Japan,Tokyo,35.6895,139.6917,31077,10231,6130,267,585,208,1193,1999-04-11
2142,Brazil,Sao_Paulo,-23.5505,-46.6333,267045,161058,97634,3161,27107,19925,3225,1998-05-26
2143,Taiwan,Tainan_City,-1.3817801379542258,-6.823508848071515,6864,6439,4943,137,354,618,1151,1999-03-13
2144,UK,Birmingham,-2.8500477535126296,3.2832201705097055,15320,1060,431,101,106,105,151,1999-03-21
2145,Russia,Vladivostok,43.1155,131.8853,28938,26323,13775,380,1651,1868,813,1998-10-31
2146,Canada,Vancouver,1.763269541791821,-1.335127450431743,4147,3025,1216,168,368,271,641,1999-03-02
2147,Australia,Melbourne,2.2429425392786246,-0.21824634033095125,6385,2705,1251,31,297,181,930,1999-05-16
2148,Japan,Okinawa,-0.7058126639679835,7.705785461881211,27452,2698,2028,124,397,41,966,1998-06-05
2149,Taiwan,Hualien_County,2.595969444828932,-2.4187338956450457,82351,8811,5034,599,1169,1269,416,1998-05-30
2150,UK,Manchester,-0.16330745969565263,5.456915438611025,2091030,1157861,861134,96179,215355,74135,29453,1998-07-08
2151,Canada,Montreal,3.577033218814007,0.06437063883327881,1303527,651308,273670,44925,59067,43298,16045,1998-12-18
2152,USA,Texas,-0.36160829624950047,-1.7712103761382976,402366,204840,99723,18458,32630,3638,10481,1998-10-23
2153,Russia,Vladivostok,43.1155,131.8853,11421463,3024068,2200460,99524,293768,267560,64921,1999-02-02
2154,Japan,Hokkaido,0.8748241824825881,-0.4771821068560608,141843,12495,9302,685,1404,1007,974,1998-06-02
2155,France,Bordeaux,1.1704801824038547,-1.9678579598366681,822473,624806,387762,31230,37329,68317,17887,1998-07-08
2156,USA,California,-3.768367786224215,-7.269105964257913,71507,15120,6408,623,2226,610,650,1999-04-17
2157,Taiwan,Tainan_City,-1.3817801379542258,-6.823508848071515,592825,363682,233941,5039,59378,17734,4590,1999-01-10
2158,Japan,Hokkaido,0.8748241824825881,-0.4771821068560608,45424,15772,11716,415,2328,528,849,1998-06-19
2159,USA,Florida,0.07366488477169875,-8.521986977221632,4324,2606,1439,68,307,211,169,1998-05-23
2160,Russia,Vladivostok,43.1155,131.8853,93170,68123,30883,2419,4756,2827,3017,1999-01-09
2161,France,Marseille,3.0758159318117744,0.8224238495790386,2194676,406205,235165,20757,37428,39840,16862,1999-05-29
2162,USA,Florida,0.07366488477169875,-8.521986977221632,5191,72,46,2,6,4,965,1998-10-11
2163,Germany,Berlin,52.52,13.405,21640,5753,4197,345,1101,218,438,1999-05-05
2164,France,Lyon,0.12253540250078182,2.243434500939372,264093,241184,182773,8601,13578,13364,5621,1999-01-28
2165,Taiwan,Tainan_City,-1.3817801379542258,-6.823508848071515,521516,91145,59052,5891,13374,6160,4882,1998-10-28
2166,Russia,Siberia_Zone,61.0137,99.1967,1096409,493601,207508,15502,70921,60971,13692,1999-04-12
2167,Antarctica,Base_Omega,1.3325999520384384,-2.3818271865907095,1247172,443182,333031,31092,61038,35188,18051,1999-01-05
2168,Canada,Vancouver,1.763269541791821,-1.335127450431743,160968,47445,30570,3887,3492,3027,674,1998-12-23
2169,Australia,Brisbane,-0.8665823898368763,9.314114221014716,13933,9678,5318,531,1796,1057,1042,1999-05-27
2170,Australia,Perth,-2.3821152566781127,0.315955519096403,1134028,777796,367336,58286,46089,81535,38444,1998-12-18
2171,Australia,Brisbane,-0.8665823898368763,9.314114221014716,29320,21736,12205,1622,1092,2048,1079,1998-08-30
2172,Japan,Hokkaido,0.8748241824825881,-0.4771821068560608,24152,7798,4698,404,1192,730,857,1998-12-28
2173,Taiwan,Tainan_City,-1.3817801379542258,-6.823508848071515,4066073,1390140,923206,61900,217621,132932,18014,1998-09-11
2174,Russia,Siberia_Zone,61.0137,99.1967,85688,44586,23773,1604,2546,4061,1547,1998-07-10
2175,France,Bordeaux,1.1704801824038547,-1.9678579598366681,271272,1247,827,41,79,18,413,1999-04-11
2176,Japan,Okinawa,-0.7058126639679835,7.705785461881211,1049275,950834,536930,22285,189634,47348,18260,1999-03-06
2177,Taiwan,Kaohsiung_City,-1.4187478369460782,0.42363056911450814,197481,44135,27100,1309,2842,3734,950,1999-02-03
2178,Canada,Vancouver,1.763269541791821,-1.335127450431743,198279,32631,24179,2519,5937,4354,1452,1998-12-05
2179,Germany,Munich,1.3304192527089729,0.9162062377984493,4014708,2432398,1463413,41989,145860,32440,81525,1998-11-01
2180,Russia,Saint_Petersburg,1.7025554541757133,0.21703694487372807,23971,19317,15180,1387,3414,2544,1146,1999-03-03
2181,Australia,Melbourne,2.2429425392786246,-0.21824634033095125,220279,134416,81566,4637,26235,11295,2048,1999-03-10
2182,USA,Florida,0.07366488477169875,-8.521986977221632,354912,212278,167081,18350,11595,22833,9749,1998-12-03
2183,Antarctica,Base_Echo,-2.0507635900375054,3.6890844561049834,2591,1203,605,91,135,114,587,1999-02-05
2184,Russia,Vladivostok,43.1155,131.8853,39725,33617,21568,938,2951,2727,1130,1999-05-14
2185,Brazil,Brasilia,-0.49583118872479576,4.486676700154028,13370,12285,5121,935,1141,232,794,1999-02-05
2186,Taiwan,Kaohsiung_City,-1.4187478369460782,0.42363056911450814,977368,553098,306095,33066,101100,28387,24012,1998-09-02
2187,UK,Manchester,-0.16330745969565263,5.456915438611025,198061,15024,8076,1088,1792,1553,427,1998-10-26
2188,Canada,Toronto,-2.097557183413056,-0.6387742714220199,118117,11426,8285,192,1562,1018,746,1999-03-23
2189,Germany,Berlin,52.52,13.405,104036,41494,33135,2379,2158,3433,1298,1998-06-04
2190,Canada,Toronto,-2.097557183413056,-0.6387742714220199,1505617,704823,507640,22834,124939,26306,26976,1998-07-09
2191,Russia,Siberia_Zone,61.0137,99.1967,130314,79348,35443,7313,5603,6268,4408,1999-04-25
2192,UK,Edinburgh,0.6060610566215301,-4.154607930958573,297451,280702,176074,14865,54775,3162,9101,1998-10-25
2193,Brazil,Brasilia,-0.49583118872479576,4.486676700154028,32395,21792,12073,2085,3148,225,683,1998-06-18
2194,France,Lyon,0.12253540250078182,2.243434500939372,947181,785954,320913,58180,120092,28451,21717,1998-07-07
2195,USA,Florida,0.07366488477169875,-8.521986977221632,1326716,1188318,744581,13300,111105,124987,49709,1998-05-07
2196,UK,London_City,51.5074,-0.1278,6712,1253,752,23,113,156,488,1998-08-02
2197,Taiwan,Taipei_City,1.6582573663341151,2.124440670053682,57676,18320,13399,1762,2637,2570,1053,1999-05-19
2198,Australia,Brisbane,-0.8665823898368763,9.314114221014716,23235,15193,7998,615,1932,408,1328,1998-07-20
2199,Brazil,Brasilia,-0.49583118872479576,4.486676700154028,240985,149566,115762,6759,22661,5418,6933,1999-01-05
2200,USA,New_York,40.7128,-74.006,212802,85683,36098,2259,4547,9097,4423,1998-06-07
2201,Antarctica,Base_Echo,-2.0507635900375054,3.6890844561049834,555712,450973,187867,5097,32654,58526,8764,1999-04-15
2202,Germany,Munich,1.3304192527089729,0.9162062377984493,42036,39173,21523,732,7483,2527,2101,1998-06-14
2203,Australia,Sydney,-33.8688,151.2093,136163,51616,25914,544,6867,3554,980,1999-04-24
2204,Russia,Vladivostok,43.1155,131.8853,71031,23489,16317,2213,4580,2989,824,1998-09-14
2205,UK,London_City,51.5074,-0.1278,10611,2912,2229,214,396,155,503,1999-03-07
2206,USA,Raccoon_City,38.8333,-97.5333,16789,8959,5497,297,1508,1257,402,1999-03-04
2207,Japan,Okinawa,-0.7058126639679835,7.705785461881211,3770,2194,995,70,295,279,695,1999-05-02
2208,France,Bordeaux,1.1704801824038547,-1.9678579598366681,2028743,352494,217688,16450,40188,35726,17984,1999-03-01
2209,Antarctica,Base_Omega,1.3325999520384384,-2.3818271865907095,13832,3715,2222,139,279,316,788,1998-12-15
2210,France,Bordeaux,1.1704801824038547,-1.9678579598366681,75179,8686,4020,733,847,574,654,1998-10-30
2211,Brazil,Amazon_Region,-1.9372771334816101,-3.219104847382798,3564300,3062704,1253036,49498,528151,102185,87804,1999-03-22
2212,Germany,Berlin,52.52,13.405,54977,33887,18482,849,2188,3449,1740,1998-11-20
2213,Brazil,Brasilia,-0.49583118872479576,4.486676700154028,897890,474684,377839,29508,44139,51454,10026,1998-08-19
2214,Japan,Akita_Pref,-2.265945629067376,2.5379745781799965,70354,61748,46877,2405,10395,6403,2153,1999-05-22
2215,Taiwan,Taipei_City,1.6582573663341151,2.124440670053682,286257,267245,210033,6021,46766,17578,11811,1998-07-07
2216,Germany,Munich,1.3304192527089729,0.9162062377984493,95139,2339,1130,189,245,332,673,1999-04-22
2217,Canada,Toronto,-2.097557183413056,-0.6387742714220199,13973,10492,7836,313,995,199,927,1998-06-07
2218,Taiwan,Taichung_City,-2.6047385575082553,7.177168990234618,7161353,3669106,2191632,351230,572975,523042,91424,1998-11-14
2219,Germany,Munich,1.3304192527089729,0.9162062377984493,1166516,3890,2966,143,623,294,282,1999-03-01
2220,Germany,Frankfurt,-4.724921723598893,2.452041664770111,104616,42758,21024,1004,5256,5861,1381,1998-07-31
2221,Japan,Okinawa,-0.7058126639679835,7.705785461881211,25450,18715,10693,1165,1772,2617,992,1999-01-19
2222,Russia,Saint_Petersburg,1.7025554541757133,0.21703694487372807,29061,20514,10344,1774,2043,525,1613,1998-12-29
2223,Japan,Tokyo,35.6895,139.6917,86094,75857,32128,5798,9664,8151,1386,1998-08-24
2224,Germany,Berlin,52.52,13.405,24248,14324,8266,256,1304,699,575,1998-08-03
2225,USA,Illinois,-0.1071992535331094,-2.5699940756529567,153785,33173,13828,1394,4452,3419,1783,1998-11-29
2226,Taiwan,Taichung_City,-2.6047385575082553,7.177168990234618,2016238,1391501,952565,107866,71084,48877,67355,1999-01-01
2227,Japan,Osaka,1.5102506162201896,-3.245233909150882,56635,52794,31213,1097,5242,3577,1978,1998-10-20
2228,Russia,Saint_Petersburg,1.7025554541757133,0.21703694487372807,2353616,1979746,1381994,94045,157840,44565,19958,1999-02-09
2229,UK,London_City,51.5074,-0.1278,18416,55,36,3,9,0,732,1998-07-18
2230,Brazil,Rio_de_Janeiro,1.6986398029712801,-0.14451882298422256,1276700,524340,341472,17632,39626,46842,16226,1999-02-04
2231,Germany,Hamburg,-3.9938192044018974,-2.733540311293427,1495511,296743,232240,28650,53471,32095,7369,1998-09-26
2232,Canada,Vancouver,1.763269541791821,-1.335127450431743,1337136,627541,295725,34121,31696,54583,19396,1999-05-04
2233,UK,Birmingham,-2.8500477535126296,3.2832201705097055,390154,145456,107681,13145,16124,15599,2502,1999-02-03
2234,France,Bordeaux,1.1704801824038547,-1.9678579598366681,140571,75127,52669,4423,5990,3711,2744,1999-04-16
2235,Australia,Sydney,-33.8688,151.2093,1039939,816146,484442,69838,101930,51927,23862,1998-12-12
2236,Russia,Saint_Petersburg,1.7025554541757133,0.21703694487372807,220903,134962,65535,12921,14808,16123,3786,1999-03-19
2237,Canada,Montreal,3.577033218814007,0.06437063883327881,202226,68889,34267,6478,5781,8235,2657,1998-08-26
2238,Australia,Melbourne,2.2429425392786246,-0.21824634033095125,23989,7720,3426,379,1361,887,494,1998-07-12
2239,Russia,Vladivostok,43.1155,131.8853,25684,5143,3035,500,739,459,171,1998-05-06
2240,USA,Texas,-0.36160829624950047,-1.7712103761382976,445541,218400,151952,8009,31100,3768,11006,1999-03-17
2241,Brazil,Amazon_Region,-1.9372771334816101,-3.219104847382798,80239,61831,47062,4132,7301,4499,2857,1998-05-22
2242,UK,London_City,51.5074,-0.1278,709239,1388,910,114,178,37,723,1998-10-26
2243,Taiwan,Kaohsiung_City,-1.4187478369460782,0.42363056911450814,1095854,737963,517557,12614,57717,17803,34710,1998-11-12
2244,Russia,Siberia_Zone,61.0137,99.1967,11236,5417,4283,426,960,195,727,1998-08-17
2245,Taiwan,Kaohsiung_City,-1.4187478369460782,0.42363056911450814,39058,31917,25125,3161,5152,835,2251,1999-05-07
2246,Brazil,Rio_de_Janeiro,1.6986398029712801,-0.14451882298422256,34403,16714,13353,485,3262,563,1155,1998-11-01
2247,Germany,Hamburg,-3.9938192044018974,-2.733540311293427,3390891,2831338,1649033,237041,189868,67161,60096,1998-06-24
2248,France,Paris_District,1.1184999132560782,0.24669544334403318,123880,87041,43231,5270,12765,11968,2220,1998-12-15
2249,UK,Birmingham,-2.8500477535126296,3.2832201705097055,327547,151260,110673,13986,18273,10726,6584,1998-05-19
2250,Brazil,Rio_de_Janeiro,1.6986398029712801,-0.14451882298422256,33967,9655,4215,484,1872,1428,788,1999-04-29
2251,Brazil,Brasilia,-0.49583118872479576,4.486676700154028,182310,168767,80353,13727,28515,19118,6377,1999-05-20
2252,USA,California,-3.768367786224215,-7.269105964257913,52655,10498,5916,783,1243,1068,741,1998-12-02
2253,Australia,Perth,-2.3821152566781127,0.315955519096403,4930,3647,1820,203,554,478,351,1998-06-17
2254,France,Bordeaux,1.1704801824038547,-1.9678579598366681,49627,32273,18153,2891,3234,4241,2209,1998-10-07
2255,UK,Birmingham,-2.8500477535126296,3.2832201705097055,259456,101354,50216,9122,19762,3056,3193,1999-01-28
2256,Germany,Berlin,52.52,13.405,147658690,100810124,79277795,9937480,12097704,6736348,3247366,1998-08-04
2257,Germany,Hamburg,-3.9938192044018974,-2.733540311293427,12789,1586,1217,53,134,101,915,1998-05-30
2258,Japan,Okinawa,-0.7058126639679835,7.705785461881211,132954,30547,15350,1878,5011,2980,1484,1998-08-29
2259,Brazil,Rio_de_Janeiro,1.6986398029712801,-0.14451882298422256,269026,183879,76450,6179,20516,26612,7548,1999-05-02
2260,Russia,Siberia_Zone,61.0137,99.1967,853015,104403,59372,9215,10574,4383,4995,1999-04-19
2261,USA,Raccoon_City,38.8333,-97.5333,77881,67048,36120,4848,7298,5119,3488,1998-11-06
2262,France,Marseille,3.0758159318117744,0.8224238495790386,52907,30056,14674,2451,1533,3812,1647,1998-09-29
2263,Germany,Frankfurt,-4.724921723598893,2.452041664770111,725971,49707,36324,4504,2839,1645,1977,1999-05-11
2264,UK,Edinburgh,0.6060610566215301,-4.154607930958573,681033,497505,295181,28631,43943,19835,22020,1999-01-10
2265,Japan,Akita_Pref,-2.265945629067376,2.5379745781799965,936724,389888,284860,38095,42360,38272,7108,1998-11-07
2266,UK,London_City,51.5074,-0.1278,634454,179050,115358,11619,13216,12580,7691,1998-09-19
2267,USA,Florida,0.07366488477169875,-8.521986977221632,7336,3706,2265,253,187,154,774,1999-01-01
2268,Russia,Saint_Petersburg,1.7025554541757133,0.21703694487372807,711040,507553,276432,7672,28036,24583,18990,1998-06-03
2269,Japan,Akita_Pref,-2.265945629067376,2.5379745781799965,220777,191076,104721,4439,31434,14566,5947,1998-11-03
2270,Japan,Osaka,1.5102506162201896,-3.245233909150882,2364,721,358,53,38,43,594,1999-05-02
2271,Australia,Melbourne,2.2429425392786246,-0.21824634033095125,546726,360810,196491,23029,61497,20552,10769,1998-07-25
2272,France,Lyon,0.12253540250078182,2.243434500939372,68661,22303,10288,2170,1695,756,902,1998-10-08
2273,Japan,Okinawa,-0.7058126639679835,7.705785461881211,1251669,17140,11250,747,3134,862,1183,1999-04-29
2274,Antarctica,Rockfort_Island,-67.6167,62.8667,102612,93852,45762,7876,15044,9353,1959,1998-08-26
2275,Australia,Brisbane,-0.8665823898368763,9.314114221014716,516933,146733,111949,11145,12311,7527,4321,1998-08-19
2276,Australia,Brisbane,-0.8665823898368763,9.314114221014716,430261,190081,108933,5095,10051,6736,9889,1998-06-27
2277,USA,Raccoon_City,38.8333,-97.5333,19703,12157,8499,326,1929,521,1323,1998-05-18
2278,Antarctica,Rockfort_Island,-67.6167,62.8667,2335562,1509006,1056619,38997,92669,218089,42817,1999-05-02
